Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Antigua and Barbuda,AAB,..,..,..,..,..,..,..,1400,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Afghanistan,AFG,71000,3000,30000,15000,13000,71000,7400,27000,435000,117000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Albania,ALB,..,..,..,450,24,4200,3100,3500,110,33000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Algeria,ALG,..,..,..,340,4500,19000,2000,..,19,3200
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Angola,ANG,79000,227000,6400,2500,..,5600,19000,14000,11000,6700
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Argentina,ARG,..,..,2000,6900,32000,36000,12000,27000,16000,23000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Australia,AUL,1000,10000,16000,13000,1200,5700,3200,31000,11000,25000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Austria,AUS,..,..,..,1000,..,..,250,..,..,270
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Azerbaijan,AZE,32000,..,36000,..,..,..,..,..,390,140
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Bahrain,BAH,..,..,..,..,..,..,..,..,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Barbados,BAR,..,..,..,..,..,..,90,..,..,100
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Belgium,BEL,..,..,..,..,..,..,..,..,50,10
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Benin,BEN,275000,..,10000,15000,..,..,960,3500,23000,5000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Burkina Faso,BFO,20000,..,..,1800,..,3700,18000,8200,5100,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Bahamas,BHM,,,,,,,,,,
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Bhutan,BHU,..,20000,..,..,..,2900,690,..,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Belize,BLZ,..,..,..,130,..,250,3500,..,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Bangladesh,BNG,569000,400000,651000,1160000,543000,531000,614000,946000,78000,4086000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Bolivia,BOL,100000,11000,9000,4700,190000,11000,7000,3100,2400,77000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Bosnia and Herzegovina,BOS,..,..,..,..,91000,320,..,..,..,270
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Botswana,BOT,..,..,..,1200,2000,250,..,2000,1600,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Brazil,BRA,230000,170000,35000,82000,150000,59000,14000,71000,86000,295000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Brunei Darussalam,BRU,..,..,..,..,51,..,..,94,..,..
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Burundi,BUI,1500,..,..,..,13000,3100,6600,11000,35000,27000
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,Bulgaria,BUL,..,..,2100,..,2300,820,24,22,50,..
