,gwcode,iso3c,country_name,start,end,microstate
221,58,AAB,Antigua & Barbuda,01/11/1981,31/12/9999,TRUE
227,396,ABK,Abkhazia,26/08/2008,31/12/9999,TRUE
176,700,AFG,Afghanistan,1816-01-01,1888-12-30,FALSE
177,700,AFG,Afghanistan,01/05/1919,31/12/9999,FALSE
67,339,ALB,Albania,01/01/1913,31/12/9999,FALSE
151,615,ALG,Algeria,1816-01-01,1830-07-05,FALSE
152,615,ALG,Algeria,05/07/1962,31/12/9999,FALSE
226,232,AND,Andorra,1816-01-01,31/12/9999,TRUE
133,540,ANG,Angola,11/11/1975,31/12/9999,FALSE
31,160,ARG,Argentina,1816-07-09,31/12/9999,FALSE
92,371,ARM,Armenia,21/12/1991,31/12/9999,FALSE
54,300,AUH,Austria-Hungary,1816-01-01,13/11/1918,FALSE
212,900,AUL,Australia,01/01/1901,31/12/9999,FALSE
55,305,AUS,Austria,14/11/1918,31/12/9999,FALSE
94,373,AZE,Azerbaijan,21/12/1991,31/12/9999,FALSE
47,267,BAD,Baden,1816-01-01,1871-01-17,FALSE
172,692,BAH,Bahrain,15/08/1971,31/12/9999,FALSE
10,53,BAR,Barbados,30/11/1966,31/12/9999,FALSE
43,245,BAV,Bavaria,1816-01-01,1871-01-17,FALSE
36,211,BEL,Belgium,1830-10-04,31/12/9999,FALSE
106,434,BEN,Benin,01/08/1960,31/12/9999,FALSE
111,439,BFO,Burkina Faso (Upper Volta),05/08/1960,31/12/9999,FALSE
3,31,BHM,Bahamas,10/07/1973,31/12/9999,FALSE
192,760,BHU,Bhutan,01/01/1949,31/12/9999,FALSE
91,370,BLR,Belarus (Byelorussia),25/08/1991,31/12/9999,FALSE
12,80,BLZ,Belize,21/09/1981,31/12/9999,FALSE
194,771,BNG,Bangladesh,16/12/1971,31/12/9999,FALSE
28,145,BOL,Bolivia,1825-08-06,31/12/9999,FALSE
75,346,BOS,Bosnia-Herzegovina,27/04/1992,31/12/9999,FALSE
143,571,BOT,Botswana,30/09/1966,31/12/9999,FALSE
27,140,BRA,Brazil,1822-09-07,31/12/9999,FALSE
208,835,BRU,Brunei,01/01/1984,31/12/9999,FALSE
127,516,BUI,Burundi,01/07/1962,31/12/9999,FALSE
80,355,BUL,Bulgaria,1878-03-03,31/12/9999,FALSE
201,811,CAM,Cambodia (Kampuchea),09/11/1953,31/12/9999,FALSE
2,20,CAN,Canada,1867-07-01,31/12/9999,FALSE
116,471,CAO,Cameroon,01/01/1960,31/12/9999,FALSE
100,402,CAP,Cape Verde,05/07/1975,31/12/9999,FALSE
109,437,CDI,Cote D'Ivoire,07/08/1960,31/12/9999,FALSE
119,482,CEN,Central African Republic,13/08/1960,31/12/9999,FALSE
120,483,CHA,Chad,11/08/1960,31/12/9999,FALSE
30,155,CHL,Chile,1818-04-01,31/12/9999,FALSE
183,710,CHN,China,1816-01-01,31/12/9999,FALSE
21,100,COL,Colombia,1830-09-23,31/12/9999,FALSE
147,581,COM,Comoros,06/07/1975,31/12/9999,FALSE
121,484,CON,Congo,15/08/1960,31/12/9999,FALSE
18,94,COS,Costa Rica,1840-01-01,31/12/9999,FALSE
71,344,CRO,Croatia,27/04/1992,31/12/9999,FALSE
4,40,CUB,Cuba,20/05/1902,31/12/9999,FALSE
79,352,CYP,Cyprus,16/08/1960,31/12/9999,FALSE
